基金代码,一年回报率_202108_202208
MUMFZI,-37.31641119405627
MMFPSF,-14.661637712987714
MMFFIM,-8.598302424115648
UDZUMI,-14.108047313148742
MUXXPS,3.1122877718605855
UDUZMA,10.697966620755755
FUZMDX,1.0787030517123668
MUMFSX,-31.25876372479524
MMZPIF,2.962265076381513
MMPUFM,2.953811049526581
MMSMXZ,-1.6533800369191365
MMMFFM,4.0124442733634575
MMDSAU,-23.894363291459083
MUXIDF,8.630746262898409
MUMSAZ,-16.457694814089795
MUXFSP,1.1950321993976822
UFZAFX,-25.299282226348204
UDAMMX,-15.729865441614258
MMZZIS,-3.910927504069825
MMXAUA,2.394697466896831
MMAXAM,43.8493521074483
FUZZII,0.7852484965990216
MMAUPI,0.08822656213085928
MMDDDU,1.9065435463299008
MUUSSS,-8.517868120286751
MUUSDD,-6.450200734761642
MUMUXM,-5.740835776033175
MUUDAD,3.9726702114416956
MMUFFX,-13.393010804895894
DSFMFI,2.6521720213757214
MUMFUF,3.073733271350428
UFZZZU,-21.82315245915442
MMPUZM,-7.45426734600892
MMDMZX,4.824611004242761
FUMXMM,-12.519810086738905
UFZZFZ,1.544973029716548
MMXMDX,1.255015612654471
FMUMZU,-16.753677429341813
MMFFDZ,-5.15356972948635
MMUIFZ,-4.488769366087421
UDPDMD,12.168429321919618
MMSIZI,-8.631738410167596
MMPZFI,6.123727990267101
MMSSDD,1.2612782642838258
MMPIPD,-0.645517130215477
MMISUP,6.830933432943939
MMZMXA,2.3062421850457784
ZSMMFS,7.90840309351514
MMFDIZ,-10.382706615432586
MMAFMM,4.257567878323574
MMXXDA,4.858017023668875
MMDMFS,5.083128523691357
UAPAMU,3.0182565541538855
MMMSDS,-28.31113826209513
IZFMMU,1.556229537888798
MMSAAF,-5.053374945671518
MMMDZM,-0.7700712402702388
MMPFII,-17.21808242609176
MMADMI,-15.742978764733017
MUXMIZ,3.394128438026452
MUMUXX,-26.83379954202202
MMAADM,-17.18713705604137
MMDAFI,0.8285272351483584
MUUIAZ,-17.06778892143186
MMUUXP,5.756034490779528
MUUIAP,-2.9691866140649226
ZSMMUS,-26.263690074131443
MMXFFD,-10.216486572940477
MMAXFF,2.8049140934149506
MMDFAI,5.732526916512648
MMPAZI,1.6561465552187462
MMDZPD,4.878043548143428
ZMMMAS,-25.39168939369286
MMPZXD,-1.8872196573618722
UFZAIS,-33.46506042595209
MMUZMF,-0.9312682243891354
MMAAIP,0.7457097888825486
MUXDUF,-9.804206853048047
MMFAPF,3.2454129253686306
MUMMXX,-10.047679975121135
MUUZMA,-22.225685857450927
MMAAIF,-0.07510346750634223
MMPMMF,-4.318146970816722
MMMMAP,3.1635446636950104
PXMMMI,-10.025495230145257
UDUMIZ,4.851285856825806
MMPPSZ,3.3568062874895004
MMPSSP,-4.345628084745822
MUMZXZ,1.8249067591003336
UXUMMZ,5.3931727773867975
UDPAXD,-18.762593254585024
IXMMMS,-41.24607161692032
MMPMUU,9.460868711616762
MMMMUU,-5.889283081456611
MMIUSM,-3.3844713670786324
MMUAAF,-3.060467162927801
MUXZMS,-23.13795258529912
MUXAFS,4.097501527245311
UDUUUF,4.254783388361112
MMUIDI,-4.582461045722529
MMFSXA,-18.911514153018715
MMUSIU,-5.409496187567218
FUMIFM,-12.410937557101423
MMMMDS,1.4934085546148224
MMFDUX,-21.323651554861783
MUXISX,-30.691328580775615
MMPUDD,-11.477644996996093
MUMADM,4.516805934238924
MUMPZD,-23.873957760612864
MMAFPM,3.0573831540762058
MMIIDM,-3.0634953278538855
MUXDMS,0.14885528988071162
FUMDIM,-0.7754451543515588
MMIFMX,6.382778491278101
MMSXUU,1.4190181429700428
MMUXAU,-19.870659971206766
MMIDAM,0.9510605376646498
MMFMPP,-26.979690799417494
MMDAFM,6.895257222045357
MMSFPX,2.5057678915512
MMDASZ,0.5030382281497001
MMDXIF,-25.458226083749825
MMUUAM,-23.795087125930216
MMDSFX,-24.934673345528076
MMAPAM,-21.273566716932677
FUZMXU,-26.555201574062696
MMMFMX,-0.5442690404258239
MMZMAF,-18.330423508736132
MUMFXZ,3.058761656595527
MMXXDU,-3.4999326853995707
MMUMFU,-8.619524006873785
MMZMZF,3.7018199633532043
MMPMPA,-5.947330979571926
MMADXM,2.2642531885641337
MMDSXP,-13.05365423735646
UDMDMA,3.8800052089113684
MMIXSF,8.225891678030104
MMDXDA,-24.37851965524299
MMSMFD,-9.684152187089694
MMDUMS,3.9894613610411103
UDMDUX,2.4801536557419777
MMXMMP,-13.784985347906145
MMMAMI,-3.321869639850269
MMMDMU,-11.169919417977074
MMUIXD,-0.53240402707378
MMAMAA,7.370793740111606
MMPSPM,-13.07953026673357
MMZPMF,2.4892783968168977
MMZUMS,-9.92702849689448
MUUZXI,-5.8689021648555055
MUXPZX,-14.088482819205682
MMIDZD,4.66042204286979
MMADUM,0.25612178838683447
MUUXPD,-19.844433933843362
MUXPDX,-12.063521538571647
UDIPUF,-10.470776400823604
IXMMMU,-1.6377713909790659
MMDFUP,5.53062564481597
FUZZFU,2.720318810084335
MMPFAF,2.6590910190127146
FUZMXM,-14.56007395672761
MMIDIP,9.572879075552994
MMUIXF,2.6063915377451625
MUMUPZ,-8.932029159033132
MMSFZM,-7.097245971565297
MMIPPF,3.6147522028558865
MUXDFZ,0.2313781969053786
ADMMMZ,-4.715687663441084
MMXZSP,-25.478079904457054
