基金代码,交易日,最新单位净值(元),本月以来回报率(%),三个月回报率(%),今年以来回报率(%)
MMFIFA,2021-05,1.159619030037922,3.807487989023345,0.1298444136724528,-11.814956438354333
MMFIFA,2021-05,1.4948830125620123,6.424842396225536,3.801732444125931,-9.576697350224562
MMFIFA,2021-06,1.4696952745479497,3.3728601947558396,14.070303842178065,-6.463533318014372
MMFIFA,2021-06,1.1094642766988554,1.6360994487707115,11.46913986511287,-5.780581066826344
MMFIFA,2021-06,1.4538589150151195,0.44851547058683616,13.035105964572553,-10.264143965533327
MMFIFA,2021-07,1.6798634763210067,2.4153802756992837,8.964585415081183,-0.27927550289740566
MMFIFA,2021-07,1.471902374888345,-2.2904803288368183,7.362770202886537,-9.557987759591088
MMFIFA,2021-07,1.250717520221432,-3.633488293821405,4.115797181496534,-9.779746752859076
MMFIFA,2021-07,1.4380900136623167,1.2654560058657707,8.21300971771496,-4.515534178532091
MMFIFA,2021-07,1.4025294526780097,2.342062709898444,9.4706563007427,-2.336145038897515
MMFIDM,2020-08,0.7751778268850836,-6.895245518624237,-3.35368964621109,-4.216685163775164
MMFIDM,2020-08,0.7868265740938274,-7.092501838047146,-2.0053146405737783,-2.31857624402367
MMFIDM,2020-08,0.9639198404333824,-5.563726009038106,-0.9181926764487803,-6.029701687075288
MMFIDM,2020-08,0.7388751014501941,-4.479430314300581,1.9725817021297198,-9.18318803265714
MMFIDM,2020-09,0.4313716523992675,-6.7391986839847196,-9.195596038103677,-10.668275964380271
MMFIDM,2020-09,0.49642002566927845,-6.079280733461081,-8.363257682701642,-14.440509545934972
MMFIDM,2020-09,0.9492890379554224,-4.807851017089633,-4.848727763352397,-9.444266222744783
MMFIDM,2020-10,0.5160971966133513,0.4797747267332932,-4.54666466082378,-10.236046841146598
MMFIDM,2020-10,0.7488248755086749,1.1531028556269851,-6.624134140787099,-6.993291193667076
MMFIDM,2020-10,0.8088545950150727,1.9242391717944685,-3.345738665938937,-8.284649323575662
MMFIDM,2020-10,0.681642111881707,0.9425571902549286,-9.635289193896604,-11.672670336856186
MMFIDM,2020-10,0.9219265192350405,-1.0826053872260815,-9.353053885984503,-11.406593385815965
MMFIDM,2020-11,0.7241197160824164,3.412670146101415,1.935886688004481,-12.297940295578755
MMFIDM,2020-11,0.49864654289157156,4.840238564018093,-1.0233683881128537,-9.745277662910391
MMFIDM,2020-11,0.8104832209031796,4.490404022771948,-3.9563281436585336,-4.759460235012867
MMFIDM,2020-12,1.1291137940652518,6.113836048535202,12.493510954331267,-5.456623446356613
MMFIDM,2020-12,0.7928510160923372,3.675300215251785,8.68551107845398,-1.428695617709805
MMFIDM,2020-12,0.9741331903431938,6.798702006684111,10.090707950388257,-2.5042902953859842
MMFIDM,2020-12,0.8073098678049128,8.351481371582931,13.7977992574233,-3.6029200368919656
MMFIDM,2021-01,0.7730612759668493,11.396970780657805,23.098746355392155,14.26297073147731
MMFIDM,2021-01,0.825123272007114,13.085581399098869,25.85362178394397,11.083530204615899
MMFIDM,2021-01,0.8716531113265046,7.986992775308988,20.45193245270307,8.369222811061082
MMFIDM,2021-01,0.9725458862380417,7.005064027983188,16.365734691470557,7.033610971002558
MMFIDM,2021-02,0.8750434257696854,-7.710224202138709,9.040827954827913,-3.816368401984058
MMFIDM,2021-03,0.5442944449465245,-10.444623674434673,-10.68786672854526,-5.762810627999609
MMFIDM,2021-03,0.5978183513816039,-10.106533836223146,-7.320805786677364,-7.5894612309553136
MMFIDM,2021-03,0.7581312894986735,-8.875974664385092,-8.93883433254027,-8.325165027567309
MMFIDM,2021-03,0.5152496866688405,-9.842388171150919,-10.09211710426383,-18.02560211882063
MMFIDM,2021-04,0.8107615147916344,4.376181057231268,-17.92411085839935,-7.808311164865739
MMFIDM,2021-04,0.8524853777724477,4.501561576960275,-17.065636685256667,-8.712600673783697
MMFIDM,2021-04,0.8267134771816005,4.7206088389940195,-16.58861281240756,-11.731236880706458
MMFIDM,2021-04,0.6644170718556812,5.151675325419964,-13.154370039556813,-3.7583052862427735
MMFIDM,2021-04,0.48421898852178175,4.814312181704086,-13.858460415229862,-4.7440495186545215
MMFIDM,2021-05,0.7114273730042865,4.393958717703397,-1.6163035788894207,-4.2013552795325655
MMFIDM,2021-05,0.7719408490589468,6.26734600323447,-1.6932830445367628,-2.080545535965491
MMFIDM,2021-05,0.751144466293619,5.4284401613628885,-1.6155786557207077,-4.0163028784585
MMFIDM,2021-05,0.9255512555922424,8.089376932394217,2.9243251124402674,0.23036619972645966
MMFIDM,2021-06,0.801302791011949,7.805059897937911,23.251382755780867,8.59413249248096
MMFIDM,2021-06,0.7639271443953013,10.181289914103031,21.825502704839636,6.520891144212718
MMFIDM,2021-06,0.880920978526339,11.642567607685612,26.513971106352948,8.636320080618441
MMFIDM,2021-07,0.8824526221949598,6.910519153085593,28.68857038494423,15.541505207022501
MMFIDM,2021-07,0.9297723779024535,0.5517938830553172,20.90128723117567,9.755982413693618
MMFIDM,2021-07,1.1951519589773454,0.4818137940877789,19.45139202672669,12.011749764481829
MMFIDM,2021-07,0.8985416851311288,5.9867077703632745,28.463483745764005,18.34336466330889
MMFIDM,2021-07,0.921654504794575,7.666505209370353,28.58972839409043,17.21034838117148
MMFIDA,2020-08,1.2354519983808387,-5.571018020041599,33.22214848783842,36.04495995391599
MMFIDA,2020-08,1.0117182600357144,-2.275508827893257,36.41639227632926,36.97044268715971
MMFIDA,2020-08,1.1699201677860849,-0.28528052552350225,41.71114329388799,41.88681379442435
MMFIDA,2020-08,1.0927632219059158,0.008944050155863636,42.58913964470897,40.212403932964484
MMFIDA,2020-09,1.3524085195686248,1.3640608838459625,28.419117742683348,43.86585347318309
MMFIDA,2020-09,1.4784786752981758,3.012807844099723,26.15175587634645,45.06161404936993
MMFIDA,2020-09,1.250368538611128,2.9618697214673,28.980038546708418,47.60774813867752
MMFIDA,2020-10,1.6619007475990815,2.7921490210150157,17.194995584366932,56.02487984617082
MMFIDA,2020-10,1.482283057619497,5.946035014056181,18.549478500421653,52.86616963398509
