基金代码,信息发布日期,期初份额(份),期末份额(份)
UDMUMF,2021-01-07,,
UDMUMF,2021-01-08,,
UDMUMF,2021-01-11,,
UDMUMF,2021-01-12,,
UDMUMF,2021-01-13,,
UDMUMF,2021-01-14,,
UDMUMF,2021-01-15,,
UDMUMF,2021-01-18,,
UDMUMF,2021-01-19,,
UDMUMF,2021-01-20,,
UDMUMF,2021-01-21,,
UDMUMF,2021-01-22,,
UDMUMF,2021-01-25,,
UDMUMF,2021-01-26,,
UDMUMF,2021-01-27,,
UDMUMF,2021-01-28,,
UDMUMF,2021-01-29,,
UDMUMF,2021-02-01,,
UDMUMF,2021-02-02,,
UDMUMF,2021-02-03,,
UDMUMF,2021-02-04,,
UDMUMF,2021-02-05,,
UDMUMF,2021-02-08,,
UDMUMF,2021-02-09,,
UDMUMF,2021-02-10,,
UDMUMF,2021-02-18,,
UDMUMF,2021-02-19,,
UDMUMF,2021-02-22,,
UDMUMF,2021-02-23,,
UDMUMF,2021-02-24,,
UDMUMF,2021-02-25,,
UDMUMF,2021-02-26,,
UDMUMF,2021-03-01,,
UDMUMF,2021-03-02,,
UDMUMF,2021-03-03,,
UDMUMF,2021-03-04,,
UDMUMF,2021-03-05,,
UDMUMF,2021-03-08,,
UDMUMF,2021-03-09,,
UDMUMF,2021-03-10,,
UDMUMF,2021-03-11,,
UDMUMF,2021-03-12,,
UDMUMF,2021-03-15,,
UDMUMF,2021-03-16,,
UDMUMF,2021-03-17,,
UDMUMF,2021-03-18,,
UDMUMF,2021-03-19,,
UDMUMF,2021-03-22,,
UDMUMF,2021-03-23,,
UDMUMF,2021-03-24,,
UDMUMF,2021-03-25,,
UDMUMF,2021-03-26,,
UDMUMF,2021-03-29,,
UDMUMF,2021-03-30,,
UDMUMF,2021-03-31,,
UDMUMF,2021-04-22,,524224752.28252614
UDMUMF,2021-04-22,529273718.37025654,524225525.6029396
UDMUMF,2021-04-01,,
UDMUMF,2021-04-02,,
UDMUMF,2021-04-06,,
UDMUMF,2021-04-07,,
UDMUMF,2021-04-08,,
UDMUMF,2021-04-09,,
UDMUMF,2021-04-12,,
UDMUMF,2021-04-13,,
UDMUMF,2021-04-14,,
UDMUMF,2021-04-15,,
UDMUMF,2021-04-16,,
UDMUMF,2021-04-19,,
UDMUMF,2021-04-20,,
UDMUMF,2021-04-21,,
UDMUMF,2021-04-22,,
UDMUMF,2021-04-23,,
UDMUMF,2021-04-26,,
UDMUMF,2021-04-27,,
UDMUMF,2021-04-28,,
UDMUMF,2021-04-29,,
UDMUMF,2021-04-30,,
UDMUMF,2021-05-06,,
UDMUMF,2021-05-07,,
UDMUMF,2021-05-10,,
UDMUMF,2021-05-11,,
UDMUMF,2021-05-12,,
UDMUMF,2021-05-13,,
UDMUMF,2021-05-14,,
UDMUMF,2021-05-17,,
UDMUMF,2021-05-18,,
UDMUMF,2021-05-19,,
UDMUMF,2021-05-20,,
UDMUMF,2021-05-21,,
UDMUMF,2021-05-24,,
UDMUMF,2021-05-25,,
UDMUMF,2021-05-26,,
UDMUMF,2021-05-27,,
UDMUMF,2021-05-28,,
UDMUMF,2021-05-31,,
UDMUMF,2021-06-01,,
UDMUMF,2021-06-02,,
UDMUMF,2021-06-03,,
UDMUMF,2021-06-04,,
UDMUMF,2021-06-07,,
UDMUMF,2021-06-08,,
UDMUMF,2021-06-09,,
UDMUMF,2021-06-10,,
UDMUMF,2021-06-11,,
UDMUMF,2021-06-15,,
UDMUMF,2021-06-16,,
UDMUMF,2021-06-17,,
UDMUMF,2021-06-18,,
UDMUMF,2021-06-21,,
UDMUMF,2021-06-22,,
UDMUMF,2021-06-23,,
UDMUMF,2021-06-24,,
UDMUMF,2021-06-25,,
UDMUMF,2021-06-28,,
UDMUMF,2021-06-29,,
UDMUMF,2021-06-30,,
UDMUMF,2021-07-21,,512133056.8275601
UDMUMF,2021-07-21,524226130.4984258,512134412.8313131
UDMUMF,2021-08-31,529274054.7668672,512135246.8523428
UDMUMF,2021-07-01,,
UDMUMF,2021-07-02,,
UDMUMF,2021-07-05,,
UDMUMF,2021-07-06,,
UDMUMF,2021-07-07,,
UDMUMF,2021-07-08,,
UDMUMF,2021-07-09,,
UDMUMF,2021-07-12,,
UDMUMF,2021-07-13,,
UDMUMF,2021-07-14,,
UDMUMF,2021-07-15,,
UDMUMF,2021-07-16,,
UDMUMF,2021-07-19,,
UDMUMF,2021-07-20,,
UDMUMF,2021-07-21,,
UDMUMF,2021-07-22,,
UDMUMF,2021-07-23,,
UDMUMF,2021-07-26,,
UDMUMF,2021-07-27,,
UDMUMF,2021-07-28,,
UDMUMF,2021-07-29,,
UDMUMF,2021-07-30,,
UDMUMF,2021-08-02,,
UDMUMF,2021-08-03,,
UDMUMF,2021-08-04,,
UDMUMF,2021-08-05,,
