基金代码,degree,betweenness,closeness,eigenvector
FUZMMF,0.6758620689655171,0.0001667500664111342,0.7552083333333334,0.027566371170955
FUZMMA,0.8778325123152708,0.0003288756188756582,0.8911325724319579,0.03548014917241281
FUZMUU,0.7359605911330048,0.0001753957776479351,0.7911145752143414,0.030297460627555006
FUZMUF,0.7359605911330048,0.0001753957776479351,0.7911145752143414,0.030297460627555006
FUZMUZ,0.8600985221674876,0.0003504348391650583,0.8772687986171133,0.034665561102671834
FUZMXU,0.8995073891625615,0.0003268074567676518,0.9086839749328559,0.036294381953622085
FUZMXD,0.8354679802955665,0.00022820695152366976,0.8587140439932318,0.03424119885669229
FUZMFD,0.7359605911330048,0.0001753957776479351,0.7911145752143414,0.030297460627555006
FUZMAS,0.5497536945812808,9.550405326850656e-05,0.6895380434782609,0.022564425653886933
FUZMZF,0.7724137931034483,0.00022785743121129026,0.8146067415730337,0.031536744433502344
FUZUUF,0.8945812807881772,0.00037613561653329527,0.9046345811051694,0.035996404924733195
FUZUIZ,0.6709359605911329,0.00010903207096327807,0.7524091919940696,0.027897922826139183
FUZUFM,0.7714285714285714,0.00018065335048452838,0.813953488372093,0.03183718895226789
FUZUFD,0.8945812807881772,0.0003343182759118022,0.9046345811051694,0.03608628820306133
FUZUAU,0.8374384236453202,0.0003848138860685798,0.8601694915254238,0.03336700369816913
FUZUAI,0.7852216748768472,0.0002484054217552853,0.8231954582319546,0.03194563834893564
FUZUAF,0.5783251231527093,0.00017471763378261305,0.7033957033957033,0.023006496091399938
FUZUZU,0.48768472906403937,9.58483829181725e-05,0.6612377850162866,0.019641913945979108
FUZUZF,0.831527093596059,0.0003883788991486151,0.8558178752107926,0.03319293735766734
FUZUZD,0.8128078817733989,0.0003535406600521527,0.8423236514522822,0.03245345855466346
FUZUZA,0.605911330049261,0.0002328063795753146,0.7173144876325088,0.023694099198283886
FUZXUX,0.49064039408866994,9.659976804814421e-05,0.662532637075718,0.019763890951989237
FUZDPX,0.9054187192118226,0.00036265004881863447,0.9135913591359136,0.03638957192508415
FUZDPP,0.9113300492610836,0.00039408074564964424,0.918552036199095,0.03657304366863412
FUZDFU,0.9330049261083743,0.0003848708950316068,0.9372114496768237,0.03739907029938982
